city,species,n,number_per_party_hrs
Niagara Falls,Downy Woodpecker,69,0.8818
Niagara Falls,Hairy Woodpecker,8,0.1022
Niagara Falls,Northern Flicker,32,0.4089
Niagara Falls,American Kestrel,6,0.0767
Niagara Falls,Merlin,2,0.0256
Niagara Falls,Peregrine Falcon,1,0.0128
Niagara Falls,Blue Jay,269,3.4377
Niagara Falls,American Crow,88,1.1246
Niagara Falls,Common Raven,3,0.0383
Niagara Falls,Horned Lark,1,0.0128
Niagara Falls,Black-capped Chickadee,170,2.1725
Niagara Falls,Tufted Titmouse,2,0.0256
Niagara Falls,Red-breasted Nuthatch,2,0.0256
Niagara Falls,White-breasted Nuthatch,25,0.3195
Niagara Falls,Brown Creeper,3,0.0383
Niagara Falls,Winter Wren,4,0.0511
Niagara Falls,Carolina Wren,41,0.5240
Niagara Falls,Golden-crowned Kinglet,7,0.0895
Niagara Falls,Eastern Bluebird,27,0.3450
Niagara Falls,American Robin,397,5.0735
Niagara Falls,Northern Mockingbird,7,0.0895
Niagara Falls,European Starling,"18,078",231.0288
Niagara Falls,Cedar Waxwing,70,0.8946
Niagara Falls,Snow Bunting,1,0.0128
Niagara Falls,Yellow-rumped Warbler (Myrtle),2,0.0256
Niagara Falls,American Tree Sparrow,46,0.5879
Niagara Falls,Dark-eyed Junco (Slate-colored),162,2.0703
Niagara Falls,White-crowned Sparrow,3,0.0383
Niagara Falls,White-throated Sparrow,30,0.3834
Niagara Falls,Song Sparrow,17,0.2173
Niagara Falls,Swamp Sparrow,1,0.0128
Niagara Falls,Northern Cardinal,144,1.8403
Niagara Falls,Red-winged Blackbird,1,0.0128
Niagara Falls,House Finch,178,2.2748
Niagara Falls,American Goldfinch,213,2.7220
Niagara Falls,House Sparrow,753,9.6230
Orillia,Canada Goose,52,0.9286
Orillia,Trumpeter Swan,25,0.4464
Orillia,American Black Duck,10,0.1786
Orillia,Mallard,872,15.5714
Orillia,Bufflehead,9,0.1607
Orillia,Common Goldeneye,190,3.3929
Orillia,Hooded Merganser,7,0.1250
Orillia,Common Merganser,160,2.8571
Orillia,duck sp.,36,0.6429
Orillia,Ruffed Grouse,4,0.0714
Orillia,Wild Turkey,156,2.7857
Orillia,Great Blue Heron (Blue form),1,0.0179
Orillia,Sharp-shinned Hawk,1,0.0179
Orillia,Cooper's Hawk,1,0.0179
Orillia,Accipiter sp.,1,0.0179
Orillia,Bald Eagle,4,0.0714
Orillia,Red-tailed Hawk,1,0.0179
Orillia,Rough-legged Hawk,1,0.0179
Orillia,Ring-billed Gull,31,0.5536
Orillia,Herring Gull,851,15.1964
Orillia,Iceland Gull,5,0.0893
Orillia,Glaucous Gull,14,0.2500
Orillia,Great Black-backed Gull,68,1.2143
Orillia,gull sp.,31,0.5536
Orillia,Rock Pigeon (Feral Pigeon),324,5.7857
Orillia,Mourning Dove,114,2.0357
Orillia,Eastern Screech-Owl,1,0.0179
Orillia,Belted Kingfisher,2,0.0357
Orillia,Red-bellied Woodpecker,6,0.1071
Orillia,Downy Woodpecker,30,0.5357
Orillia,Hairy Woodpecker,20,0.3571
Orillia,Northern Flicker,1,0.0179
Orillia,Pileated Woodpecker,9,0.1607
Orillia,Northern Shrike,1,0.0179
Orillia,Blue Jay,91,1.6250
Orillia,American Crow,64,1.1429
Orillia,Common Raven,7,0.1250
Orillia,Black-capped Chickadee,337,6.0179
Orillia,Red-breasted Nuthatch,11,0.1964
Orillia,White-breasted Nuthatch,30,0.5357
Orillia,Brown Creeper,4,0.0714
Orillia,European Starling,209,3.7321
Orillia,Cedar Waxwing,4,0.0714
Orillia,American Tree Sparrow,19,0.3393
Orillia,Dark-eyed Junco (Slate-colored),50,0.8929
Orillia,White-throated Sparrow,1,0.0179
Orillia,Song Sparrow,1,0.0179
Orillia,Northern Cardinal,11,0.1964
Orillia,House Finch,8,0.1429
Orillia,Purple Finch,2,0.0357
Orillia,American Goldfinch,69,1.2321
Orillia,Evening Grosbeak,10,0.1786
Orillia,House Sparrow,30,0.5357
Richmond Hill,Canada Goose,582,8.7849
Richmond Hill,Mute Swan,3,0.0453
Richmond Hill,Trumpeter Swan,125,1.8868
Richmond Hill,Wood Duck,2,0.0302
Richmond Hill,American Black Duck,25,0.3774
Richmond Hill,Mallard,826,12.4679
Richmond Hill,Common Goldeneye,2,0.0302
Richmond Hill,Hooded Merganser,1,0.0151
Richmond Hill,Wild Turkey,37,0.5585
Richmond Hill,Sharp-shinned Hawk,3,0.0453
Richmond Hill,Cooper's Hawk,1,0.0151
Richmond Hill,Red-tailed Hawk,12,0.1811
Richmond Hill,Rough-legged Hawk,1,0.0151
Richmond Hill,Ring-billed Gull,217,3.2755
Richmond Hill,Herring Gull,16,0.2415
Richmond Hill,gull sp.,26,0.3925
Richmond Hill,Rock Pigeon (Feral Pigeon),396,5.9774
Richmond Hill,Mourning Dove,202,3.0491
Richmond Hill,Red-bellied Woodpecker,5,0.0755
Richmond Hill,Downy Woodpecker,33,0.4981
Richmond Hill,Hairy Woodpecker,15,0.2264
Richmond Hill,Pileated Woodpecker,2,0.0302
Richmond Hill,Blue Jay,66,0.9962
Richmond Hill,American Crow,56,0.8453
Richmond Hill,Common Raven,4,0.0604
Richmond Hill,Black-capped Chickadee,366,5.5245
Richmond Hill,Red-breasted Nuthatch,10,0.1509
Richmond Hill,White-breasted Nuthatch,13,0.1962
Richmond Hill,Brown Creeper,2,0.0302
Richmond Hill,Golden-crowned Kinglet,1,0.0151
Richmond Hill,Eastern Bluebird,5,0.0755
Richmond Hill,American Robin,3,0.0453
Richmond Hill,Northern Mockingbird,1,0.0151
Richmond Hill,European Starling,"1,495",22.5660
Richmond Hill,Cedar Waxwing,13,0.1962
Richmond Hill,American Tree Sparrow,87,1.3132
Richmond Hill,Dark-eyed Junco (Slate-colored),181,2.7321
Richmond Hill,White-throated Sparrow,6,0.0906
Richmond Hill,Song Sparrow,1,0.0151
Richmond Hill,Northern Cardinal,85,1.2830
Richmond Hill,Brown-headed Cowbird,17,0.2566
Richmond Hill,House Finch,52,0.7849
Richmond Hill,Purple Finch,2,0.0302
Richmond Hill,Pine Siskin,2,0.0302
Richmond Hill,American Goldfinch,154,2.3245
Richmond Hill,House Sparrow,175,2.6415
Point Pelee,Cackling Goose,2,0.0408
Point Pelee,Canada Goose,"4,763",97.2041
Point Pelee,Trumpeter Swan,2,0.0408
Point Pelee,Tundra Swan,16,0.3265
Point Pelee,Wood Duck,1,0.0204
Point Pelee,Gadwall,5,0.1020
Point Pelee,American Wigeon,1,0.0204
Point Pelee,American Black Duck,1,0.0204
Point Pelee,Mallard,415,8.4694
Point Pelee,Green-winged Teal,1,0.0204
Point Pelee,Canvasback,3,0.0612
Point Pelee,Redhead,7,0.1429
Point Pelee,Greater Scaup,"19,021",388.1837
Point Pelee,Lesser Scaup,365,7.4490
Point Pelee,Greater/Lesser Scaup,"2,000",40.8163
Point Pelee,Surf Scoter,15,0.3061
Point Pelee,White-winged Scoter,900,18.3673
Point Pelee,Black Scoter,8,0.1633
Point Pelee,Long-tailed Duck,12,0.2449
Point Pelee,Bufflehead,23,0.4694
Point Pelee,Common Goldeneye,735,15.0000
Point Pelee,Hooded Merganser,7,0.1429
Point Pelee,Common Merganser,"1,335",27.2449
Point Pelee,Red-breasted Merganser,"4,140",84.4898
Point Pelee,merganser sp.,63,1.2857
Point Pelee,Ruddy Duck,6,0.1224
Point Pelee,duck sp.,334,6.8163
Point Pelee,Ring-necked Pheasant,1,0.0204
Point Pelee,Wild Turkey,29,0.5918
Point Pelee,Common Loon,2,0.0408
Point Pelee,Horned Grebe,6,0.1224
Point Pelee,Double-crested Cormorant,4,0.0816
Point Pelee,Great Blue Heron (Blue form),28,0.5714
Point Pelee,Turkey Vulture,1,0.0204
Point Pelee,Northern Harrier,4,0.0816
Point Pelee,Sharp-shinned Hawk,3,0.0612
Point Pelee,Cooper's Hawk,7,0.1429
Point Pelee,Northern Goshawk,1,0.0204
Point Pelee,Bald Eagle,12,0.2449
Point Pelee,Red-shouldered Hawk,4,0.0816
Point Pelee,Red-tailed Hawk,24,0.4898
Point Pelee,Rough-legged Hawk,1,0.0204
Point Pelee,Sandhill Crane,46,0.9388
Point Pelee,Killdeer,1,0.0204
Point Pelee,Purple Sandpiper,2,0.0408
Point Pelee,American Woodcock,1,0.0204
Point Pelee,Bonaparte's Gull,623,12.7143
Point Pelee,Ring-billed Gull,"2,259",46.1020
Point Pelee,Herring Gull,635,12.9592
Point Pelee,Lesser Black-backed Gull,2,0.0408
Point Pelee,Glaucous Gull,4,0.0816
Point Pelee,Great Black-backed Gull,41,0.8367
Point Pelee,gull sp.,7,0.1429
Point Pelee,Rock Pigeon (Feral Pigeon),136,2.7755
Point Pelee,Mourning Dove,66,1.3469
Point Pelee,Eastern Screech-Owl,16,0.3265
Point Pelee,Great Horned Owl,11,0.2245
Point Pelee,Belted Kingfisher,3,0.0612
Point Pelee,Red-bellied Woodpecker,18,0.3673
Point Pelee,Downy Woodpecker,75,1.5306
Point Pelee,Northern Flicker,7,0.1429
Point Pelee,American Kestrel,2,0.0408
Point Pelee,Merlin,2,0.0408
Point Pelee,Peregrine Falcon,1,0.0204
Point Pelee,Eastern Phoebe,4,0.0816
Point Pelee,Blue Jay,70,1.4286
Point Pelee,American Crow,33,0.6735
Point Pelee,Horned Lark,13,0.2653
Point Pelee,Black-capped Chickadee,60,1.2245
Point Pelee,Red-breasted Nuthatch,1,0.0204
Point Pelee,White-breasted Nuthatch,16,0.3265
Point Pelee,Brown Creeper,15,0.3061
Point Pelee,Winter Wren,7,0.1429
Point Pelee,Marsh Wren,1,0.0204
Point Pelee,Carolina Wren,13,0.2653
Point Pelee,Golden-crowned Kinglet,34,0.6939
Point Pelee,Ruby-crowned Kinglet,9,0.1837
Point Pelee,Hermit Thrush,2,0.0408
Point Pelee,American Robin,9,0.1837
Point Pelee,European Starling,"1,606",32.7755
Point Pelee,American Pipit,3,0.0612
Point Pelee,Cedar Waxwing,6,0.1224
Point Pelee,Orange-crowned Warbler,1,0.0204
Point Pelee,American Tree Sparrow,42,0.8571
Point Pelee,Chipping Sparrow,8,0.1633
Point Pelee,Dark-eyed Junco,69,1.4082
Point Pelee,White-crowned Sparrow,12,0.2449
Point Pelee,White-throated Sparrow,13,0.2653
Point Pelee,Song Sparrow,25,0.5102
Point Pelee,Swamp Sparrow,9,0.1837
Point Pelee,sparrow sp.,7,0.1429
Point Pelee,Northern Cardinal,140,2.8571
Point Pelee,Red-winged Blackbird,266,5.4286
Point Pelee,Eastern Meadowlark,2,0.0408
Point Pelee,Common Grackle,1,0.0204
Point Pelee,Brown-headed Cowbird,46,0.9388
Point Pelee,House Finch,39,0.7959
Point Pelee,Pine Siskin,4,0.0816
Point Pelee,American Goldfinch,45,0.9184
Point Pelee,House Sparrow,"1,493",30.4694
Stratford,Canada Goose,"3,300",61.9137
Stratford,Mute Swan,4,0.0750
Stratford,American Black Duck,12,0.2251
Stratford,Mallard,680,12.7580
Stratford,Wild Turkey,47,0.8818
Stratford,Great Blue Heron (Blue form),1,0.0188
Stratford,Turkey Vulture,14,0.2627
Stratford,Northern Harrier,5,0.0938
Stratford,Cooper's Hawk,7,0.1313
Stratford,Bald Eagle,10,0.1876
Stratford,Red-tailed Hawk,70,1.3133
Stratford,Rough-legged Hawk,16,0.3002
Stratford,Ring-billed Gull,16,0.3002
Stratford,Herring Gull,124,2.3265
Stratford,Rock Pigeon (Feral Pigeon),455,8.5366
Stratford,Mourning Dove,120,2.2514
Stratford,Eastern Screech-Owl,1,0.0188
Stratford,Great Horned Owl,1,0.0188
Stratford,Belted Kingfisher,5,0.0938
Stratford,Red-bellied Woodpecker,16,0.3002
Stratford,Downy Woodpecker,43,0.8068
Stratford,Hairy Woodpecker,4,0.0750
Stratford,Northern Flicker,3,0.0563
Stratford,Pileated Woodpecker,1,0.0188
Stratford,American Kestrel,2,0.0375
Stratford,Merlin,2,0.0375
Stratford,Blue Jay,180,3.3771
Stratford,American Crow,"2,298",43.1144
Stratford,Common Raven,1,0.0188
Stratford,Black-capped Chickadee,320,6.0038
Stratford,Red-breasted Nuthatch,11,0.2064
Stratford,White-breasted Nuthatch,27,0.5066
Stratford,Brown Creeper,4,0.0750
Stratford,Winter Wren,1,0.0188
Stratford,Golden-crowned Kinglet,4,0.0750
Stratford,American Robin,17,0.3189
Stratford,European Starling,"2,809",52.7017
Stratford,Cedar Waxwing,3,0.0563
Stratford,Snow Bunting,8,0.1501
Stratford,American Tree Sparrow,30,0.5629
Stratford,Dark-eyed Junco (Slate-colored),223,4.1839
Stratford,Eastern Towhee,1,0.0188
Stratford,Northern Cardinal,51,0.9568
Stratford,House Finch,20,0.3752
Stratford,American Goldfinch,151,2.8330
Stratford,House Sparrow,267,5.0094
Thousand Islands,Canada Goose,501,10.9868
Thousand Islands,Mute Swan,87,1.9079
Thousand Islands,Wood Duck,2,0.0439
Thousand Islands,American Black Duck,5,0.1096
Thousand Islands,Mallard,116,2.5439
Thousand Islands,Lesser Scaup,16,0.3509
Thousand Islands,White-winged Scoter,3,0.0658
Thousand Islands,Long-tailed Duck,2,0.0439
Thousand Islands,Bufflehead,19,0.4167
Thousand Islands,Common Goldeneye,597,13.0921
Thousand Islands,Common Merganser,448,9.8246
Thousand Islands,Red-breasted Merganser,121,2.6535
Thousand Islands,duck sp.,470,10.3070
Thousand Islands,Ruffed Grouse,3,0.0658
Thousand Islands,Wild Turkey,135,2.9605
Thousand Islands,Horned Grebe,1,0.0219
Thousand Islands,Cooper's Hawk,1,0.0219
Thousand Islands,Bald Eagle,18,0.3947
Thousand Islands,Red-tailed Hawk,18,0.3947
Thousand Islands,Rough-legged Hawk,8,0.1754
Thousand Islands,Ring-billed Gull,23,0.5044
Thousand Islands,Herring Gull,80,1.7544
Thousand Islands,Great Black-backed Gull,2,0.0439
Thousand Islands,gull sp.,112,2.4561
Thousand Islands,Rock Pigeon (Feral Pigeon),189,4.1447
Thousand Islands,Mourning Dove,130,2.8509
Thousand Islands,Barred Owl,1,0.0219
Thousand Islands,Belted Kingfisher,1,0.0219
Thousand Islands,Red-bellied Woodpecker,18,0.3947
Thousand Islands,Downy Woodpecker,59,1.2939
Thousand Islands,Hairy Woodpecker,29,0.6360
Thousand Islands,Northern Flicker,1,0.0219
Thousand Islands,Pileated Woodpecker,2,0.0439
Thousand Islands,American Kestrel,2,0.0439
Thousand Islands,Northern Shrike,1,0.0219
Thousand Islands,Blue Jay,293,6.4254
Thousand Islands,American Crow,54,1.1842
Thousand Islands,Common Raven,53,1.1623
Thousand Islands,Horned Lark,10,0.2193
Thousand Islands,Black-capped Chickadee,422,9.2544
Thousand Islands,Tufted Titmouse,1,0.0219
Thousand Islands,Red-breasted Nuthatch,1,0.0219
Thousand Islands,White-breasted Nuthatch,67,1.4693
Thousand Islands,Brown Creeper,14,0.3070
Thousand Islands,Golden-crowned Kinglet,2,0.0439
Thousand Islands,Eastern Bluebird,5,0.1096
Thousand Islands,American Robin,10,0.2193
Thousand Islands,Gray Catbird,1,0.0219
Thousand Islands,European Starling,329,7.2149
Thousand Islands,Cedar Waxwing,321,7.0395
Thousand Islands,American Tree Sparrow,216,4.7368
Thousand Islands,Dark-eyed Junco,232,5.0877
Thousand Islands,White-throated Sparrow,3,0.0658
Thousand Islands,Song Sparrow,4,0.0877
Thousand Islands,Northern Cardinal,30,0.6579
Thousand Islands,House Finch,10,0.2193
Thousand Islands,American Goldfinch,66,1.4474
Thousand Islands,House Sparrow,144,3.1579
Sandbanks,Cackling Goose,2,0.0338
Sandbanks,Canada Goose,"3,453",58.2785
Sandbanks,Mute Swan,186,3.1392
Sandbanks,Trumpeter Swan,12,0.2025
Sandbanks,Tundra Swan,4,0.0675
Sandbanks,American Black Duck,59,0.9958
Sandbanks,Mallard,179,3.0211
Sandbanks,Northern Pintail,2,0.0338
Sandbanks,Greater Scaup,9,0.1519
Sandbanks,Surf Scoter,1,0.0169
Sandbanks,White-winged Scoter,57,0.9620
Sandbanks,Long-tailed Duck,"1,080",18.2278
Sandbanks,Bufflehead,53,0.8945
Sandbanks,Common Goldeneye,449,7.5781
Sandbanks,Hooded Merganser,3,0.0506
Sandbanks,Common Merganser,460,7.7637
Sandbanks,Red-breasted Merganser,96,1.6203
Sandbanks,Ruffed Grouse,14,0.2363
Sandbanks,Wild Turkey,3,0.0506
Sandbanks,Red-necked Grebe,1,0.0169
Sandbanks,Sharp-shinned Hawk,1,0.0169
Sandbanks,Cooper's Hawk,4,0.0675
Sandbanks,Bald Eagle,7,0.1181
Sandbanks,Red-tailed Hawk,4,0.0675
Sandbanks,Purple Sandpiper,1,0.0169
Sandbanks,Bonaparte's Gull,1,0.0169
Sandbanks,Ring-billed Gull,59,0.9958
Sandbanks,Herring Gull,104,1.7553
Sandbanks,Great Black-backed Gull,7,0.1181
Sandbanks,Rock Pigeon (Feral Pigeon),126,2.1266
Sandbanks,Mourning Dove,428,7.2236
Sandbanks,Eastern Screech-Owl,6,0.1013
Sandbanks,Great Horned Owl,2,0.0338
Sandbanks,Barred Owl,2,0.0338
Sandbanks,Long-eared Owl,1,0.0169
Sandbanks,Belted Kingfisher,1,0.0169
Sandbanks,Red-bellied Woodpecker,17,0.2869
Sandbanks,Yellow-bellied Sapsucker,1,0.0169
Sandbanks,Downy Woodpecker,40,0.6751
Sandbanks,Hairy Woodpecker,27,0.4557
Sandbanks,Northern Flicker,2,0.0338
Sandbanks,Pileated Woodpecker,7,0.1181
Sandbanks,American Kestrel,2,0.0338
Sandbanks,Northern Shrike,3,0.0506
Sandbanks,Blue Jay,262,4.4219
Sandbanks,American Crow,82,1.3840
Sandbanks,Common Raven,15,0.2532
Sandbanks,Horned Lark,5,0.0844
Sandbanks,Black-capped Chickadee,377,6.3629
Sandbanks,White-breasted Nuthatch,41,0.6920
Sandbanks,Brown Creeper,5,0.0844
Sandbanks,Winter Wren,1,0.0169
Sandbanks,Golden-crowned Kinglet,13,0.2194
Sandbanks,Eastern Bluebird,7,0.1181
Sandbanks,Townsend's Solitaire,1,0.0169
Sandbanks,Hermit Thrush,1,0.0169
Sandbanks,American Robin,424,7.1561
Sandbanks,Northern Mockingbird,1,0.0169
Sandbanks,European Starling,512,8.6414
Sandbanks,Cedar Waxwing,205,3.4599
Sandbanks,longspur sp.,1,0.0169
Sandbanks,Snow Bunting,3,0.0506
Sandbanks,Yellow-rumped Warbler,2,0.0338
Sandbanks,American Tree Sparrow,125,2.1097
Sandbanks,Dark-eyed Junco,219,3.6962
Sandbanks,White-crowned Sparrow,1,0.0169
Sandbanks,White-throated Sparrow,3,0.0506
Sandbanks,Song Sparrow,3,0.0506
Sandbanks,Northern Cardinal,24,0.4051
Sandbanks,Red-winged Blackbird,9,0.1519
Sandbanks,Common Grackle,3,0.0506
Sandbanks,Brown-headed Cowbird,27,0.4557
Sandbanks,House Finch,72,1.2152
Sandbanks,American Goldfinch,81,1.3671
Sandbanks,House Sparrow,77,1.2996
St. Catherines,Canada Goose,"4,624",43.6226
St. Catherines,Mute Swan,9,0.0849
St. Catherines,Trumpeter Swan,15,0.1415
St. Catherines,Tundra Swan,10,0.0943
St. Catherines,Trumpeter/Tundra Swan,6,0.0566
St. Catherines,American Black Duck,22,0.2075
St. Catherines,Mallard,376,3.5472
St. Catherines,Canvasback,8,0.0755
St. Catherines,Redhead,14,0.1321
St. Catherines,Ring-necked Duck,28,0.2642
St. Catherines,Greater Scaup,9,0.0849
St. Catherines,Lesser Scaup,1,0.0094
St. Catherines,White-winged Scoter,16,0.1509
St. Catherines,Long-tailed Duck,65,0.6132
St. Catherines,Bufflehead,29,0.2736
St. Catherines,Common Goldeneye,60,0.5660
St. Catherines,Hooded Merganser,53,0.5000
St. Catherines,Common Merganser,154,1.4528
St. Catherines,Red-breasted Merganser,501,4.7264
St. Catherines,duck sp.,14,0.1321
St. Catherines,Wild Turkey,50,0.4717
St. Catherines,Common Loon,4,0.0377
St. Catherines,Pied-billed Grebe,1,0.0094
St. Catherines,Red-necked Grebe,1,0.0094
St. Catherines,Double-crested Cormorant,45,0.4245
St. Catherines,Great Blue Heron (Blue form),8,0.0755
St. Catherines,Northern Harrier,2,0.0189
St. Catherines,Sharp-shinned Hawk,7,0.0660
St. Catherines,Cooper's Hawk,10,0.0943
St. Catherines,Bald Eagle,8,0.0755
St. Catherines,Red-tailed Hawk,110,1.0377
St. Catherines,Rough-legged Hawk,2,0.0189
St. Catherines,American Coot,1,0.0094
St. Catherines,Bonaparte's Gull,1,0.0094
St. Catherines,Ring-billed Gull,471,4.4434
St. Catherines,Herring Gull,165,1.5566
St. Catherines,Lesser Black-backed Gull,1,0.0094
St. Catherines,Great Black-backed Gull,7,0.0660
St. Catherines,gull sp.,79,0.7453
St. Catherines,Rock Pigeon (Feral Pigeon),619,5.8396
St. Catherines,Mourning Dove,409,3.8585
St. Catherines,Eastern Screech-Owl,6,0.0566
St. Catherines,Great Horned Owl,3,0.0283
St. Catherines,Snowy Owl,1,0.0094
St. Catherines,Belted Kingfisher,5,0.0472
St. Catherines,Red-bellied Woodpecker,58,0.5472
St. Catherines,Downy Woodpecker,56,0.5283
St. Catherines,Hairy Woodpecker,12,0.1132
St. Catherines,Northern Flicker,30,0.2830
St. Catherines,American Kestrel,24,0.2264
St. Catherines,Merlin,1,0.0094
St. Catherines,Northern Shrike,1,0.0094
St. Catherines,Blue Jay,371,3.5000
St. Catherines,American Crow,57,0.5377
St. Catherines,Common Raven,4,0.0377
St. Catherines,Horned Lark,53,0.5000
St. Catherines,Black-capped Chickadee,169,1.5943
St. Catherines,Tufted Titmouse,3,0.0283
St. Catherines,Red-breasted Nuthatch,2,0.0189
St. Catherines,White-breasted Nuthatch,28,0.2642
St. Catherines,Brown Creeper,1,0.0094
St. Catherines,Carolina Wren,29,0.2736
St. Catherines,Golden-crowned Kinglet,4,0.0377
St. Catherines,Ruby-crowned Kinglet,1,0.0094
St. Catherines,Eastern Bluebird,76,0.7170
St. Catherines,American Robin,393,3.7075
St. Catherines,Northern Mockingbird,12,0.1132
St. Catherines,European Starling,"5,854",55.2264
St. Catherines,Cedar Waxwing,136,1.2830
St. Catherines,Yellow-rumped Warbler (Myrtle),9,0.0849
St. Catherines,American Tree Sparrow,81,0.7642
St. Catherines,Chipping Sparrow,2,0.0189
St. Catherines,Dark-eyed Junco,362,3.4151
St. Catherines,White-crowned Sparrow,42,0.3962
St. Catherines,White-throated Sparrow,31,0.2925
St. Catherines,Song Sparrow,2,0.0189
St. Catherines,Northern Cardinal,223,2.1038
St. Catherines,Red-winged Blackbird,5,0.0472
St. Catherines,Brown-headed Cowbird,23,0.2170
St. Catherines,House Finch,248,2.3396
St. Catherines,American Goldfinch,388,3.6604
St. Catherines,House Sparrow,"1,137",10.7264